date,count,URL-M
2012-04-24,23433,http://web.archive.org/web/20120424194414/http://twitter.com/usagym
2012-05-08,24131,http://web.archive.org/web/20120508200524/http://twitter.com/usagym
2012-06-05,25789,http://web.archive.org/web/20120605195811/http://twitter.com/usagym
2012-07-04,35322,http://web.archive.org/web/20120704042409/http://twitter.com/usagym
2012-08-01,60258,http://web.archive.org/web/20120801003624/http://twitter.com/usagym
2012-09-20,76992,http://web.archive.org/web/20120920162510/http://twitter.com/usagym
2013-03-30,82502,http://web.archive.org/web/20130330021352/https://twitter.com/USAGym
2013-04-20,83148,http://web.archive.org/web/20130420124135/https://twitter.com/USAGym
2013-06-12,85505,http://web.archive.org/web/20130612041332/http://www.twitter.com/usagym
2013-10-01,93210,http://web.archive.org/web/20131001050341/https://twitter.com/USAGym
2014-04-20,103233,http://web.archive.org/web/20140420104400/https://twitter.com/USAGym
2014-06-02,104358,http://web.archive.org/web/20140602063828/https://twitter.com/USAGym
2014-07-02,105170,http://web.archive.org/web/20140702161235/https://twitter.com/USAGym
2014-09-03,108011,http://web.archive.org/web/20140903202727/https://twitter.com/USAGym
2015-01-07,111816,http://web.archive.org/web/20150107234416/https://twitter.com/USAGym
2015-03-22,114658,http://web.archive.org/web/20150322160331/https://twitter.com/usagym
2015-05-03,116651,http://web.archive.org/web/20150503015907/https://twitter.com/usagym
2015-08-13,121336,http://web.archive.org/web/20150813194938/https://twitter.com/USAGym
2015-09-02,123176,http://web.archive.org/web/20150902160730/https://twitter.com/usagym
2015-10-12,124862,http://web.archive.org/web/20151012163643/https://twitter.com/USAGym
2015-11-28,128324,http://web.archive.org/web/20151128201333/https://twitter.com/USAGym
2016-01-01,129139,http://web.archive.org/web/20160101125927/https://twitter.com/usagym
2016-04-01,134026,http://web.archive.org/web/20160401121903/https://twitter.com/USAGym
2016-05-27,138876,http://web.archive.org/web/20160527122628/https://twitter.com/USAGym
2016-06-02,139355,http://web.archive.org/web/20160602153756/https://twitter.com/usagym
2016-07-11,157792,http://web.archive.org/web/20160711103202/https://twitter.com/USAGym
2016-08-03,169671,http://web.archive.org/web/20160803191940/https://twitter.com/USAGym
2016-09-01,233563,http://web.archive.org/web/20160901125045/https://twitter.com/USAGym
2016-11-06,235943,http://web.archive.org/web/20161106100817/https://twitter.com/USAGym
2016-12-12,236542,http://web.archive.org/web/20161212095151/https://twitter.com/USAGym
2017-01-06,237105,http://web.archive.org/web/20170106050424/https://twitter.com/usagym
2017-02-13,238432,http://web.archive.org/web/20170213070746/https://twitter.com/USAGym
2017-03-02,238864,http://web.archive.org/web/20170302034650/https://twitter.com/USAGym
2017-04-23,240484,http://web.archive.org/web/20170423030328/https://twitter.com/USAGym
2017-06-30,242689,http://web.archive.org/web/20170630142549/https://twitter.com/usagym
2017-07-07,242972,http://web.archive.org/web/20170707083929/https://twitter.com/USAGym
2017-08-21,245308,http://web.archive.org/web/20170821043807/https://twitter.com/USAGym
2017-09-01,245753,http://web.archive.org/web/20170901155717/https://twitter.com/USAGym
2017-10-02,246898,http://web.archive.org/web/20171002011930/https://twitter.com/USAGym
2017-11-11,248631,http://web.archive.org/web/20171111092242/https://twitter.com/usagym
2017-12-09,249926,http://web.archive.org/web/20171209064704/https://twitter.com/usagym
2018-01-03,250461,http://web.archive.org/web/20180103003954/https://twitter.com/USAGym
2018-02-10,253370,http://web.archive.org/web/20180210120425/https://twitter.com/usagym
2012-05-09,24185,http://web.archive.org/web/20120509183245/http://twitter.com:80/usagym
2012-06-12,27129,http://web.archive.org/web/20120612190007/http://twitter.com/usagym
2012-07-07,35751,http://web.archive.org/web/20120707001315/http://twitter.com/USAGym
2012-08-03,66591,http://web.archive.org/web/20120803151930/https://twitter.com/USAGym
2013-10-03,93510,http://web.archive.org/web/20131003111449/https://twitter.com/usagym
2014-07-06,105299,http://web.archive.org/web/20140706111238/https://twitter.com/usagym
2014-09-06,108045,http://web.archive.org/web/20140906032558/https://twitter.com/USAGym
2015-01-16,112057,http://web.archive.org/web/20150116101224/https://twitter.com/usagym
2015-05-22,117271,http://web.archive.org/web/20150522192739/https://twitter.com/USAGym
2015-09-06,123335,http://web.archive.org/web/20150906152652/https://twitter.com/usagym
2015-10-23,125481,http://web.archive.org/web/20151023012036/https://twitter.com/usagym
2016-04-03,134142,http://web.archive.org/web/20160403085636/https://twitter.com/usagym
2016-06-08,140361,http://web.archive.org/web/20160608235413/https://twitter.com/USAGym
2016-07-28,166683,http://web.archive.org/web/20160728152538/https://twitter.com/usagym
2016-08-06,174818,http://web.archive.org/web/20160806155551/https://twitter.com/USAGym
2016-09-02,233746,http://web.archive.org/web/20160902114425/https://twitter.com/USAGym
2016-11-23,236228,http://web.archive.org/web/20161123140041/https://twitter.com/USAGym
2016-12-17,236665,http://web.archive.org/web/20161217144001/https://twitter.com/USAGym
2017-01-25,237844,http://web.archive.org/web/20170125040439/https://twitter.com/USAGym
2017-03-03,238906,http://web.archive.org/web/20170303043150/https://twitter.com/USAGym
2017-09-09,245988,http://web.archive.org/web/20170909155855/https://twitter.com/USAGym
2017-12-21,250242,http://web.archive.org/web/20171221040304/https://twitter.com/USAGym
2018-01-11,250741,http://web.archive.org/web/20180111020613/https://twitter.com/usagym
2018-03-08,254472,http://web.archive.org/web/20180308222724/http://twitter.com/USAGym
